Geoname ID,Coordinates
13156890,"26.51081, 90.96887"
1254222,"25.45505, 79.11428"
2754773,"51.80635, 5.83057"
2182444,"-43.5567, 172.61689"
2970838,"44.3849, 4.99125"
2637571,"51.32971, 0.44305"
3455222,"-30.19139, -52.37361"
1607763,"15.51631, 103.19367"
3404571,"-4.47611, -42.30858"
2651849,"50.96364, -1.29682"
2737581,"40.98383, -7.61765"
350211,"31.51027, 31.82851"
2374519,"12.10389, -15.70806"
3464632,"-15.72556, -41.0"
3119099,"41.58333, 2.33333"
4833276,"42.73008, -73.70123"
2967695,"45.29484, 5.63192"
5039421,"45.51135, -92.98022"
3023955,"50.45436, 3.58884"
13157036,"23.28687, 72.43798"
3403559,"-6.24139, -36.1825"
2659960,"47.05619, 6.74913"
7329882,"33.74288, 105.01032"
3520926,"18.95471, -97.65858"
2644305,"53.53333, -2.41667"
1277671,"24.25106, 79.28618"
3900138,"-33.36952, -71.67654"
5558857,"40.44821, -122.29778"
4006337,"19.16108, -102.70687"
2633337,"51.76716, -3.78082"
668365,"47.01135, 26.86536"
6559506,"46.31316, 7.47914"
2890334,"53.41972, 10.20156"
10433124,"30.39672, 76.15617"
3500367,"19.67119, -71.50471"
1851047,"36.16518, 138.48301"
4907649,"41.92586, -87.83589"
532706,"44.10639, 43.27556"
2967319,"47.80947, 7.24154"
2975020,"43.39834, 5.36596"
2025261,"56.84735, 124.90812"
11682195,"11.63242, 78.16951"
9613008,"51.42002, -0.31504"
3863419,"-29.88845, -60.28397"
3388307,"-5.12279, -35.63684"
5026114,"43.65218, -94.46108"
2842824,"48.80808, 8.94536"
5180119,"41.05453, -76.23327"
8479429,"26.40526, -99.01581"
3400931,"-4.15556, -42.94444"
1263832,"23.79459, 85.46872"
6137702,"46.05009, -74.28252"
2734170,"41.41938, -8.34599"
5116811,"43.04729, -76.23854"
5467024,"35.99113, -106.08058"
2260591,"-1.02605, 15.35914"
3461616,"-13.07132, -44.20161"
2886382,"51.75, 14.25"
1274267,"22.83363, 78.82611"
10689459,"22.7832, 75.91256"
2646613,"53.66051, -1.56014"
3033853,"49.16949, 6.93933"
3395055,"-5.51722, -35.25639"
3187829,"45.25446, 19.7588"
2652294,"50.84654, -1.06344"
6125653,"48.5168, -72.23244"
3169807,"40.75636, 14.01457"
302006,"36.85551, 36.51788"
10759174,"13.58936, 74.69618"
13157023,"15.25465, 74.01464"
3601627,"14.98086, -87.89091"
8858158,"19.82917, -99.08278"
2861923,"51.73827, 7.52197"
3398872,"-5.02222, -44.27111"
3398344,"-4.66303, -44.85586"
12440490,"43.90798, 81.3434"
3462442,"-21.79861, -49.92861"
2793722,"50.71809, 6.01107"
2661490,"47.5529, 7.62322"
4985521,"43.09003, -83.6944"
1261829,"24.27083, 75.05007"
3472822,"-25.9925, -49.33528"
13512937,"49.24438, -122.98215"
370481,"18.47036, 31.81126"
2929484,"49.80341, 9.16311"
3453712,"-11.8125, -39.90861"
11185242,"26.34515, 92.71487"
3666575,"10.27169, -75.44222"
5770732,"40.45328, -111.77799"
4252548,"38.33589, -90.14983"
1234808,"6.8714, 81.3487"
3090158,"50.87698, 18.42094"
3037726,"44.74572, -1.10355"
2516325,"38.32063, -6.7726"
3840104,"-47.75131, -65.89674"
3218772,"45.71541, 12.20444"
1253115,"23.1892, 73.47987"
3387161,"-6.47694, -44.19167"
4154769,"28.59111, -81.39424"
4012194,"19.96912, -101.14053"
2741738,"41.38212, -8.3089"
3095856,"54.35563, 18.49102"
663692,"47.51667, 22.15"
6220345,"-43.50833, 172.55013"
5138371,"41.08565, -73.85847"
3393267,"-4.15028, -38.84639"
3857012,"-25.28333, -64.06667"
3402538,"-6.13083, -39.8775"
4343659,"29.87743, -90.03202"
1277793,"25.83942, 80.62255"
5388953,"33.78557, -118.08506"
698652,"45.28866, 34.13521"
6318315,"-7.37778, -37.48"
1560038,"18.46312, 105.7131"
630431,"54.47737, 30.30936"
13494541,"25.8578, 93.76905"
1261034,"10.62324, 79.25494"
1732955,"4.4256, 103.4538"
3397608,"-8.72667, -35.79333"
582462,"43.21711, 46.28209"
1257651,"28.15014, 75.53987"
662986,"45.72968, 24.7028"
3012449,"48.66697, 6.20269"
762643,"51.64021, 22.90057"
2206002,"-33.9899, 151.13334"
2207880,"-33.83784, 151.2175"
12749856,"47.43117, 19.14119"
13535832,"4.88265, 114.94487"
1718319,"15.88642, 120.59984"
2633404,"51.38839, -2.82353"
518488,"50.97449, 42.36004"
2799047,"50.35291, 5.45631"
4143658,"38.91261, -75.42797"
1268273,"18.23102, 77.17914"
3405162,"-7.31333, -38.515"
